epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,612.552,1.52806,1.385,1.03107,0.88698,0.92881,0.95312,0.66815,1.14458,0.78781,0.94525,0.000553757,0.000553757,0.000553757
2,1425.77,1.0407,0.66686,0.88632,0.94066,0.96276,0.98031,0.74701,0.92791,0.63687,0.88708,0.00108746,0.00108746,0.00108746
3,3703.16,0.9187,0.58739,0.86297,0.9393,0.96226,0.9769,0.78586,0.79153,0.59075,0.8528,0.00159915,0.00159915,0.00159915
4,4491.21,0.84075,0.5355,0.84695,0.90375,0.91442,0.98441,0.81443,0.71078,0.61934,0.83693,0.00156798,0.00156798,0.00156798
5,5016.33,0.79018,0.50752,0.8378,0.96228,0.95317,0.99108,0.82939,0.68441,0.47067,0.83413,0.00153497,0.00153497,0.00153497
6,5803.5,0.7325,0.46871,0.82777,0.96971,0.96933,0.99226,0.86582,0.59637,0.40908,0.81761,0.00150197,0.00150197,0.00150197
7,6909.5,0.69677,0.44961,0.82371,0.97597,0.97376,0.99297,0.87288,0.56736,0.37817,0.81176,0.00146896,0.00146896,0.00146896
8,7520.19,0.65738,0.41718,0.81828,0.9879,0.98849,0.9933,0.8814,0.53728,0.36206,0.80942,0.00143595,0.00143595,0.00143595
9,8216.3,0.64192,0.40832,0.81617,0.99422,0.99139,0.99417,0.8906,0.51528,0.34173,0.80435,0.00140295,0.00140295,0.00140295
10,8606.98,0.61685,0.39462,0.81241,0.99225,0.99281,0.99385,0.88866,0.52929,0.33426,0.80602,0.00136994,0.00136994,0.00136994
11,9526.38,0.60229,0.38034,0.81018,0.99564,0.99379,0.99372,0.89771,0.50125,0.32912,0.80396,0.00133693,0.00133693,0.00133693
12,10259.9,0.5911,0.37524,0.80921,0.98715,0.98284,0.99339,0.88968,0.53191,0.33462,0.80506,0.00130393,0.00130393,0.00130393
